Arena,School,City,State,Conference,Capacity,Opened,Wins,Losses,Conference Wins,Conference Losses,PPG_Scored,PPG_Allowed,Simple Rating System,Strength of Schedule,NCAA Tourney,Home Games,Total Attendance,Average Attendance,FTE
Harry A. Gampel Pavilion,University of Connecticut,Storrs,CT,AAC,10167,1990,14,18,7,11,68.2,73.1,1.08,6.05,0,16,125271,7829.438,24221
CFE Arena,University of Central Florida,Orlando,FL,AAC,9465,2007,19,13,9,9,62.7,61.7,4.75,3.75,0,16,74174,4635.875,44563
Yuengling Center,University of South Florida-Main Campus,Tampa,FL,AAC,10411,1980,10,22,3,15,63.3,70.6,-7.27,0.05,0,18,46244,2569.111,31602
Charles Koch Arena,Wichita State University,Wichita,KS,AAC,10506,1955,25,8,14,4,82.8,71.6,16.58,5.46,1,16,172594,10787.125,9992
Devlin Fieldhouse,Tulane University of Louisiana,New Orleans,LA,AAC,3600,1933,14,17,5,13,73.2,74.1,1.21,2.08,0,16,25771,1610.688,10486
Williams Arena at Minges Coliseum,East Carolina University,Greenville,NC,AAC,8000,1968,10,20,4,14,66.4,74.9,-8.72,-0.22,0,19,63899,3363.105,22652
Fifth Third Arena,University of Cincinnati-Main Campus,Cincinnati,OH,AAC,12012,1989,31,5,16,2,74.3,57.5,20.25,3.53,1,16,129303,8081.438,28080
Reynolds Center,University of Tulsa,Tulsa,OK,AAC,8355,1998,19,12,12,6,73.5,70.9,4.96,2.38,0,15,67762,4517.467,3934
Liacouras Center,Temple University,Philadelphia,PA,AAC,10205,1997,17,16,8,10,69.9,70.5,7.25,7.79,0,13,82213,6324.077,34253
FedExForum,University of Memphis,Memphis,TN,AAC,18119,2004,21,13,10,8,70.8,71.2,1.8,2.16,0,19,118277,6225.105,14275
Fertitta Center,University of Houston,Houston,TX,AAC,7100,1969,27,8,14,4,76.7,64.9,15.99,4.16,1,15,54919,3661.267,33123
Moody Coliseum,Southern Methodist University,University Park,TX,AAC,7000,1956,17,16,6,12,69.5,64.1,9.08,3.66,0,18,119878,6659.889,9053
Watsco Center,University of Miami,Coral Gables,FL,ACC,7972,2003,22,10,11,7,73.8,67.9,12.83,6.96,1,14,99639,7117.071,15610
Donald L. Tucker Civic Center,Florida State University,Tallahassee,FL,ACC,12100,1981,23,12,9,9,80.2,72.9,15.79,8.5,1,15,127685,8512.333,35050
Hank McCamish Pavilion,Georgia Institute of Technology-Main Campus,Atlanta,GA,ACC,8600,1956,13,19,6,12,65.7,67.9,5.25,7.47,0,19,123843,6518.053,20483
Edmund P. Joyce Center,University of Notre Dame,Notre Dame,IN,ACC,9149,1968,21,15,8,10,74.7,69,13.65,7.94,0,17,132212,7777.176,12255
KFC Yum! Center,University of Louisville,Louisville,KY,ACC,22090,2010,22,14,9,9,75.6,70.4,14.3,9.08,0,22,371427,16883.045,16092
Conte Forum,Boston College,Chestnut Hill,MA,ACC,8606,1988,19,16,7,11,76.4,74.6,9,7.2,0,17,87731,5160.647,13209
Dean Smith Center,University of North Carolina at Chapel Hill,Chapel Hill,NC,ACC,21750,1986,26,11,11,7,81.6,73.3,20.08,11.78,1,15,275681,18378.733,25108
Cameron Indoor Stadium,Duke University,Durham,NC,ACC,9314,1940,29,8,13,5,84.4,69.6,24.44,9.71,1,16,149024,9314,15329
PNC Arena,North Carolina State University at Raleigh,Raleigh,NC,ACC,19557,1999,21,12,11,7,81.3,75.1,12.91,6.7,1,19,289807,15253,27415
Lawrence Joel Veterans Memorial Coliseum,Wake Forest University,Winston-Salem,NC,ACC,14665,1989,11,20,4,14,73.3,74.4,7.76,8.79,0,16,134807,8425.438,7648
Carrier Dome,Syracuse University,Syracuse,NY,ACC,35446,1980,23,14,8,10,66.6,63.8,12.89,10.02,1,19,407778,21462,19238
Petersen Events Center,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,ACC,12508,2002,8,24,0,18,62,72.4,-1.87,8.47,0,18,74103,4116.833,25797
Littlejohn Coliseum,Clemson University,Clemson,SC,ACC,10000,1968,25,10,11,7,73.8,65.9,17.17,9.25,1,16,123895,7743.438,21491
Cassell Coliseum,Virginia Polytechnic Institute and State University,Blacksburg,VA,ACC,10052,1962,21,12,10,8,79.8,72.2,14.35,6.72,1,18,138205,7678.056,31564
John Paul Jones Arena,University of Virginia-Main Campus,Charlottesville,VA,ACC,14593,2006,31,3,17,1,67.1,54,22.21,9.07,1,17,236703,13923.706,22167
Chase Arena,University of Hartford,Hartford,CT,America East,4017,1990,19,14,11,5,70.2,70.5,-5.54,-5.26,0,16,22536,1408.5,5109
Costello Athletic Center,University of Massachusetts-Lowell,Lowell,MA,America East,2100,1964,12,18,6,10,75.3,79.1,-9.54,-5.78,0,16,17913,1119.563,11762
UMBC Event Center,University of Maryland-Baltimore County,Catonsville,MD,America East,5000,2018,25,11,12,4,71.6,69.8,-2.02,-3.84,1,17,19645,1155.588,10669
Cross Insurance Center,University of Maine,Bangor,ME,America East,5800,2013,6,26,3,13,65.4,76.7,-14.64,-3.28,0,12,12344,1028.667,9007
Lundholm Gym,University of New Hampshire-Main Campus,Durham,NH,America East,3500,1938,10,21,6,10,65.4,69.5,-8.38,-4.32,0,15,7219,481.267,13984
SEFCU Arena,SUNY at Albany,Guilderland,NY,America East,4538,1992,22,10,10,6,73.3,67.9,0.01,-5.41,0,17,42063,2474.294,14849
Island Federal Credit Union Arena,Stony Brook University,Stony Brook,NY,America East,4160,1967,13,19,7,9,67.9,70.7,-5.09,-2.28,0,14,38114,2722.429,21770
Binghamton University Events Center,Binghamton University,Vestal,NY,America East,5142,2004,11,20,2,14,66.8,70.7,-10.29,-6.36,0,14,36722,2623,15442
Patrick Gym,University of Vermont,Burlington,VT,America East,3228,1963,27,8,15,1,73.4,65.4,4.89,-3.17,0,14,41012,2929.429,11871
Edmunds Center,Stetson University,DeLand,FL,ASUN,5000,1974,12,20,4,10,73.1,79.1,-12.38,-6.46,0,16,10901,681.313,4067
Alico Arena,Florida Gulf Coast University,Fort Myers,FL,ASUN,4500,2002,23,12,12,2,81.1,73.7,1.93,-5.44,0,20,73114,3655.7,11431
Swisher Gymnasium,Jacksonville University,Jacksonville,FL,ASUN,1500,1953,15,18,8,6,70.4,77.7,-13.39,-6.12,0,16,12972,810.75,2615
UNF Arena,University of North Florida,Jacksonville,FL,ASUN,5800,1993,14,19,7,7,79.3,88.9,-11.4,-1.74,0,12,21703,1808.583,11089
KSU Convocation Center,Kennesaw State University,Kennesaw,GA,ASUN,4792,2003,10,20,6,8,71.7,78.5,-11.17,-4.31,0,14,16056,1146.857,25768
Wellness and Events Center,New Jersey Institute of Technology,Newark,NJ,ASUN,3500,2017,14,16,7,7,72.6,74.3,-7.25,-5.53,0,17,12862,756.588,8214
G. B. Hodge Center,University of South Carolina-Upstate,Spartanburg,SC,ASUN,878,1973,7,25,2,12,74.9,88,-17.46,-4.35,0,13,8404,646.462,4596
Allen Arena,Lipscomb University,Nashville,TN,ASUN,5028,2001,23,10,10,4,80.4,78.7,-2.1,-3.8,1,15,22420,1494.667,4214
Charles E. Smith Center,George Washington University,Washington,DC,Atlantic 10,5000,1975,15,18,7,11,67.4,70.3,-0.72,2.13,0,17,45019,2648.176,18668
William D. Mullins Memorial Center,University of Massachusetts-Amherst,Amherst,MA,Atlantic 10,9493,1993,13,20,5,13,71.9,74.7,-1.66,1.1,0,17,50901,2994.176,24142
Chaifetz Arena,Saint Louis University,St. Louis,MO,Atlantic 10,10600,2008,17,16,9,9,65.5,65.8,2.58,2.92,0,18,112237,6235.389,10707
John M. Belk Arena,Davidson College,Davidson,NC,Atlantic 10,5223,1989,21,12,13,5,76.3,67.9,11.02,2.57,1,13,55600,4276.923,1810
Rose Hill Gymnasium,Fordham University,Bronx,NY,Atlantic 10,3200,1925,9,22,4,14,62.3,70.3,-6.74,1.26,0,17,26638,1566.941,13390
Reilly Center,St Bonaventure University,St. Bonaventure,NY,Atlantic 10,5480,1966,26,8,14,4,77.1,70.8,8.87,2.61,1,14,60007,4286.214,1772
University of Dayton Arena,University of Dayton,Dayton,OH,Atlantic 10,13435,1969,14,17,8,10,72.4,73.5,1.64,2.7,0,16,207950,12996.875,9811
Tom Gola Arena,La Salle University,Philadelphia,PA,Atlantic 10,3400,1998,13,19,7,11,72.9,73.8,1.7,2.54,0,14,26755,1911.071,3592
Hagan Arena,Saint Joseph's University,Philadelphia,PA,Atlantic 10,4200,1949,16,16,10,8,74.1,72.2,3.78,1.9,0,13,47946,3688.154,4904
Palumbo Center,Duquesne University,Pittsburgh,PA,Atlantic 10,4406,1988,16,16,7,11,72.4,70.2,-1.08,-3.33,0,19,34464,1813.895,8708
Ryan Center,University of Rhode Island,Kingston,RI,Atlantic 10,7657,2002,26,8,15,3,76,68.8,11.81,4.61,1,16,99466,6216.625,14426
EagleBank Arena,George Mason University,Fairfax,VA,Atlantic 10,10000,1985,16,17,9,9,71.8,75.7,-2.99,0.83,0,17,69491,4087.706,24648
Robins Center,Virginia Commonwealth University,Richmond,VA,Atlantic 10,7201,1972,12,20,9,9,71.8,75.6,-0.17,3.61,0,15,97379,6491.933,25122
Siegel Center,University of Richmond,Richmond,VA,Atlantic 10,7617,1999,18,15,9,9,76,74.8,3.55,2.42,0,18,137466,7637,3478
Hilton Coliseum,Iowa State University,Ames,IA,Big 12,14376,1971,13,18,4,14,72.8,75.5,6.88,9.49,0,16,225941,14121.313,32169
Allen Fieldhouse,University of Kansas,Lawrence,KS,Big 12,16300,1955,31,8,13,5,81.4,71.9,21.39,11.87,1,18,294206,16344.778,22888
Bramlage Coliseum,Kansas State University,Manhattan,KS,Big 12,12528,1988,25,12,10,8,71.1,67,12.84,8.74,1,18,156801,8711.167,19359
Lloyd Noble Center,University of Oklahoma-Norman Campus,Norman,OK,Big 12,11528,1973,18,14,8,10,84.9,81.7,13.81,10.56,1,15,153799,10253.267,22128
Gallagher-Iba Arena,Oklahoma State University-Main Campus,Stillwater,OK,Big 12,13611,1938,21,15,8,10,76.6,73.3,12.45,9.12,0,21,147230,7010.952,19933
Frank Erwin Center,The University of Texas at Austin,Austin,TX,Big 12,16734,1977,19,15,8,10,72.1,68.8,13.96,10.67,1,17,180232,10601.882,47980
Schollmaier Arena,Texas Christian University,Fort Worth,TX,Big 12,8500,1961,21,12,9,9,82.1,75.4,16.38,9.68,1,18,118101,6561.167,10092
United Supermarkets Arena,Texas Tech University,Lubbock,TX,Big 12,15020,1999,27,10,11,7,74.6,64.8,19.38,9.6,1,18,193319,10739.944,31239
Ferrell Center,Baylor University,Waco,TX,Big 12,10347,1988,19,15,8,10,74.7,69.3,14.59,9.17,0,19,120304,6331.789,16308
WVU Coliseum,West Virginia University,Morgantown,WV,Big 12,14000,1970,26,11,11,7,80.1,69.6,19.88,9.36,1,17,209164,12303.765,25154
Capital One Arena,Georgetown University,Washington,DC,Big East,20308,1997,15,15,5,13,78.3,76.5,7.16,5.29,0,19,143093,7531.211,14585
Wintrust Arena,DePaul University,Chicago,IL,Big East,10387,2017,11,20,4,14,71.9,73.8,6.55,8.45,0,16,98354,6147.125,18345
Hinkle Fieldhouse,Butler University,Indianapolis,IN,Big East,9100,1928,21,14,9,9,78.9,72.6,16.92,10.55,1,17,145430,8554.706,4635
CHI Health Center Omaha,Creighton University,Omaha,NE,Big East,18320,2003,21,12,10,8,83.2,74.9,16.35,8.1,1,18,306000,17000,6840
Prudential Center,Seton Hall University,Newark,NJ,Big East,18711,2007,22,12,10,8,79.4,73.9,15.67,10.11,1,17,143766,8456.824,7265
Madison Square Garden,St John's University-New York,New York,NY,Big East,19812,1968,16,17,4,14,73.2,73.6,10.29,10.69,0,18,164415,9134.167,14213
Cintas Center,Xavier University,Cincinnati,OH,Big East,10250,2000,29,6,15,3,84.4,74.7,19.08,9.45,1,18,188554,10475.222,5008
Finneran Pavilion,Villanova University,Villanova,PA,Big East,6500,1986,36,4,14,4,86.6,70.2,26.64,10.24,1,13,153775,11828.846,7786
Dunkin' Donuts Center,Providence College,Providence,RI,Big East,12400,1972,21,14,10,8,73.6,72.7,11.12,10.23,1,17,162315,9547.941,4055
Fiserv Forum,Marquette University,Milwaukee,WI,Big East,17500,2018,21,14,9,9,81.3,78.5,12.5,9.7,0,20,246469,12323.45,10191
Walkup Skydome,Northern Arizona University,Flagstaff,AZ,Big Sky,11230,1977,5,27,2,16,65,78.7,-14.66,-1.03,0,12,7950,662.5,23899
Hornets Nest,California State University-Sacramento,Sacramento,CA,Big Sky,1012,1955,7,25,4,14,66.2,74.4,-8.91,-0.74,0,13,7934,610.308,25079
Bank of Colorado Arena,University of Northern Colorado,Greeley,CO,Big Sky,2992,1975,26,12,11,7,79.8,73.8,3.61,-2.27,0,17,24471,1439.471,9367
Cowan Spectrum,University of Idaho,Moscow,ID,Big Sky,7000,1975,22,9,14,4,74.3,69.6,0.82,-3.94,0,13,23241,1787.769,8508
Holt Arena,Idaho State University,Pocatello,ID,Big Sky,8000,1970,14,16,9,9,73.1,75.1,-5.77,-3.7,0,14,22645,1617.5,7545
Worthington Arena,Montana State University,Bozeman,MT,Big Sky,7250,1957,13,19,6,12,74.2,79.4,-8.69,-3.53,0,14,43102,3078.714,12992
Dahlberg Arena,The University of Montana,Missoula,MT,Big Sky,7321,1953,26,8,16,2,77.1,68.6,6.28,-2.25,1,14,56568,4040.571,8659
Betty Engelstad Sioux Center,University of North Dakota,Grand Forks,ND,Big Sky,3300,2004,12,20,6,12,75.5,83,-7.63,-0.2,0,13,24245,1865,10275
Peter Stott Center,Portland State University,Portland,OR,Big Sky,2000,1966,20,14,9,9,82.1,81.2,-0.14,-1.05,0,13,7885,606.538,16624
America First Events Center,Southern Utah University,Cedar City,UT,Big Sky,5300,1985,13,19,5,13,74.8,81.6,-7.64,-0.88,0,14,33518,2394.143,6485
Dee Events Center,Weber State University,Ogden,UT,Big Sky,11500,1977,20,11,13,5,76.1,73.2,0.01,-2.88,0,15,101683,6778.867,11664
Reese Court,Eastern Washington University,Cheney,WA,Big Sky,6000,1981,20,15,13,5,74,72.5,-0.03,-1.55,0,12,19538,1628.167,10845
Kimmel Arena,University of North Carolina at Asheville,Asheville,NC,Big South,3200,2011,21,13,13,5,74,74.3,-3.92,-3.57,0,17,29655,1744.412,3286
Paul Porter Arena,Gardner-Webb University,Boiling Springs,NC,Big South,5000,1982,14,18,9,9,67,72.9,-9.68,-3.79,0,13,14438,1110.615,1985
"John W. Pope, Jr. Convocation Center",Campbell University,Buies Creek,NC,Big South,3095,2008,18,16,10,8,73.7,72.7,-5.68,-6.68,0,18,26251,1458.389,5630
Millis Athletic Convocation Center,High Point University,High Point,NC,Big South,1750,1992,14,16,9,9,67.7,68,-6.74,-6.37,0,15,17727,1181.8,4844
Templeton Physical Education Center,Presbyterian College,Clinton,SC,Big South,2300,1975,11,21,4,14,63.3,72.1,-14.32,-5.53,0,15,5815,387.667,1230
CSU Field House,Charleston Southern University,North Charleston,SC,Big South,881,1965,15,16,9,9,68.8,70.8,-8.15,-6.15,0,15,9604,640.267,2860
Winthrop Coliseum,Winthrop University,Rock Hill,SC,Big South,6100,1982,19,12,12,6,76.7,72.5,-1.63,-5.84,0,14,29705,2121.786,4953
Willett Hall,Longwood University,Farmville,VA,Big South,1807,1980,7,26,3,15,61.2,75.2,-18.31,-4.31,0,16,19973,1248.313,4102
Vines Center,Liberty University,Lynchburg,VA,Big South,9547,1990,22,15,9,9,68.9,65.3,-2.67,-6.23,0,21,42938,2044.667,37806
Dedmon Center,Radford University,Radford,VA,Big South,3205,1981,23,13,12,6,66.9,65.4,-2.61,-4.08,1,13,20733,1594.846,8603
Carver?Hawkeye Arena,University of Iowa,Iowa City,IA,Big Ten,15500,1983,14,19,4,14,79.7,78.7,8.13,7.13,0,15,180391,12026.067,25972
State Farm Center,University of Illinois at Urbana-Champaign,Champaign,IL,Big Ten,16618,1963,14,18,4,14,75.2,74.2,8.5,7.53,0,18,227051,12613.944,42850
Welsh-Ryan Arena,Northwestern University,Evanston,IL,Big Ten,7039,1952,15,17,6,12,68.3,67.1,9.63,8.37,0,17,110306,6488.588,17664
Simon Skjodt Assembly Hall,Indiana University-Bloomington,Bloomington,IN,Big Ten,17472,1971,16,15,9,9,71.9,70.3,9.89,8.25,0,18,280631,15590.611,38505
Mackey Arena,Purdue University-Main Campus,West Lafayette,IN,Big Ten,14848,1967,30,7,15,3,80.4,65.7,23.41,8.74,1,17,243844,14343.765,36719
Xfinity Center,University of Maryland-College Park,College Park,MD,Big Ten,17950,2002,19,13,8,10,73,67.1,13.78,7.94,0,18,264164,14675.778,35815
Crisler Center,University of Michigan-Ann Arbor,Ann Arbor,MI,Big Ten,12707,1967,33,8,13,5,72.9,63.3,19.03,9.41,1,16,173948,10871.75,43517
Breslin Student Events Center,Michigan State University,East Lansing,MI,Big Ten,14797,1989,30,5,16,2,80.2,64.9,22.41,7.1,1,17,251549,14797,43507
Williams Arena,University of Minnesota-Twin Cities,Minneapolis,MN,Big Ten,14625,1928,15,17,4,14,75.2,75.1,7.01,6.91,0,17,201454,11850.235,39705
Pinnacle Bank Arena,University of Nebraska-Lincoln,Lincoln,NE,Big Ten,15147,2013,22,11,13,5,72.3,68.6,10.99,7.32,0,17,263367,15492.176,22253
Louis Brown Athletic Center,Rutgers University-New Brunswick,Piscataway,NJ,Big Ten,8000,1977,15,19,3,15,64.3,65.6,5.5,6.83,0,22,104698,4759,42194
Value City Arena,Ohio State University-Main Campus,Columbus,OH,Big Ten,18809,1998,25,9,15,3,76.2,67.6,17.67,9.03,1,18,242916,13495.333,52057
Bryce Jordan Center,Pennsylvania State University-Main Campus,University Park,PA,Big Ten,15261,1996,26,13,9,9,74.7,66.7,15.85,7.79,0,19,136745,7197.105,45336
Kohl Center,University of Wisconsin-Madison,Madison,WI,Big Ten,17249,1998,15,18,7,11,66.8,66,10.38,9.5,0,18,310901,17272.278,38568
The Pavilion at ARC,University of California-Davis,Davis,CA,Big West,7600,1977,22,11,12,4,71.3,68.6,0.94,-1.84,0,12,25407,2117.25,36047
